Category,Item,Description,Size,Price
Shared Plates,Colossal Shrimp Cocktail,Heirloom tomato cocktail sauce; fresh horseradish; Meyer lemon,,27
Shared Plates,Blue Crab Cakes,Citrus aioli; mango purée,,29
Shared Plates,Wagyu Beef Tartare,Sweet onion; caper; farm egg yolk; toast points,,28
Shared Plates,Honey-Cured Candied Bacon,Crushed red pepper,,16
Shared Plates,Seared Tuna Tataki,Citrus ponzu; microgreens,,33
USDA Prime Dry-Aged Steaks,Bone-In Ribeye,,22 oz,87
USDA Prime Dry-Aged Steaks,New York Strip,,12 oz,74
USDA Prime Dry-Aged Steaks,T-Bone,,24 oz,82
USDA Prime Dry-Aged Steaks,Porterhouse,,30 oz,130
USDA Prime Dry-Aged Steaks,Tomahawk Ribeye,,40 oz,158
USDA Prime Dry-Aged Steaks,Center-Cut Filet Mignon,,8 oz,68
Wagyu Selections,Australian Wagyu Ribeye,,12 oz,125
Wagyu Selections,Japanese A5 Wagyu Ribeye,,6 oz,185
Chef's Coastal Selection,Fish of the Day,,,MP
Chef's Coastal Selection,Cold Water Lobster Tail,,,MP
Chef's Coastal Selection,Oysters on the Half Shell (Half Dozen),,,MP
Chef's Coastal Selection,Oysters on the Half Shell (Full Dozen),,,MP
Chef's Coastal Selection,Seafood Tower (Serves Two),,,MP
Chef's Coastal Selection,Caviar Service,Optional accompaniments available,,MP
House-Crafted Accompaniments,Classic Béarnaise,Tarragon; white wine reduction,,Choice of One
House-Crafted Accompaniments,Point Reyes Blue Cheese Cream,Cracked black pepper,,Choice of One
House-Crafted Accompaniments,Argentine Chimichurri,Oregano; garlic; red pepper,,Choice of One
House-Crafted Accompaniments,Cognac Peppercorn Jus,Veal stock; cream,,Choice of One
House-Crafted Accompaniments,Signature Demi-Glace,Shiitake; berry; fine herbs,,Choice of One
Soups & Salads,Traditional Caesar,White anchovy; aged Parmesan; herb crouton,,14
Soups & Salads,Roasted Heirloom Beet Salad,Baby arugula; Boursin pear; sweet onion; chèvre; sherry vinaigrette,,16
Soups & Salads,Lobster Bisque,Sherry cream; fresh thyme,,12
Signature Sides,Loaded Baked Russet,Whipped butter; crème fraîche; bacon; aged cheddar; chive,,12
Signature Sides,Crisp Hand-Cut Fries,Baja Gold sea salt,,10
Signature Sides,Caramelized Garlic Whipped Potatoes,Aged Parmesan; thyme; sage,,10
Signature Sides,Jumbo Asparagus,Extra virgin olive oil; Meyer lemon,,12
Signature Sides,Broccolini,Brown butter; garlic; sumac,,11
Signature Sides,Truffle Mac & Cheese,Fontina; provolone; aged cheddar,,16
Signature Sides,Lobster Mac & Cheese,Butter-poached lobster; artisan cheeses,,32
Signature Sides,Honey-Cured Bacon Mac & Cheese,Applewood-smoked bacon; artisan cheeses,,22
