name,type,price
Hardy's Tawny Porto 10 Year,Port,7
Graham's Tawny Porto 10 Year,Port,16
Dow's Tawny Porto 10 Year,Port,17
Prickly Pear Pale Ale,Beer,6
Heck's Czech Dark Lager,Beer,
Wild River IPA Series,Beer,8
Pig's Ass Porter,Beer,6
10th Avenue Amber,Beer,6
Snow Dust Rice Lager,Beer,6
Bear's Delight Honey Wheat,Beer,7
Original Hard Cider,Cider,8
Budweiser 12oz Bottle,Beer,5.50
Bud Light 12oz Bottle,Beer,5.50
Coors Banquet 12oz Bottle,Beer,5.50
Coors Light 12oz Bottle,Beer,5.50
Michelob Ultra 12oz Bottle,Beer,5.50
Corona Extra 12oz Bottle,Beer,6
Stella Artois 12oz Bottle,Beer,6.50
Stella Artois 0% 12oz Bottle,Beer,4
Sierra Nevada Pale Ale 12oz Bottle,Beer,6.50
PBR 16oz Can,Beer,5
Kettlehouse Cold Smoke 16oz Can,Beer,7
New Haikkado Rice Lager 16oz Can,Beer,7
Bauman's Oak St. Dry Cider,Cider,6
Athletic Run Wild IPA NA 12oz Can,Beer,7
White Claw Mango 12oz Can,Seltzer,4.50
White Claw Black Cherry 12oz Can,Seltzer,4.50
St. Agrestis Phony Negroni,N/A,9
"Fountain Sodas (Coke, Diet Coke, Root Beer, Sprite, Ginger Ale, Iced Tea, Lemonade)",N/A,3
"Fanta Orange, Grape & Strawberry",N/A,3
Red Bull & Sugar Free Red Bull,N/A,5
San Pellegrino 500ml,N/A,5
San Pellegrino 750ml,N/A,8
"Juices (Tomato, Clamato, Grapefruit, Pineapple)",N/A,3
Mint Citrus Fizz,Mocktail,8
Steakhouse 74,Mocktail,10
Velvet Honey,Mocktail,8
Lemon Ginger Mojito,Cocktail,12
Radio Silence,Cocktail,14
Shock Value,Cocktail,12
Blue Samurai,Cocktail,12
Crown & Cane,Cocktail,14
Mango Caliente,Cocktail,13
The Violet Hour,Cocktail,13
Black Saddle,Cocktail,14
The Iron Sage,Cocktail,12
Barrel Aged Program,Cocktail,
